handoff_threshold,numDropout,numPingPong,numHandoff,dropout,pingpong,handoff
1.00E-10,1435,18.5,461.5,0.07175,0.000925,0.023075
5.00E-10,1409,18,457.5,0.07045,0.0009,0.022875
1.00E-09,1379.5,20,447,0.06895,0.001,0.02235
5.00E-09,1392.5,13,452,0.069625,0.00065,0.0226
1.00E-08,1465.5,17.5,471,0.07325,0.000875,0.02355
5.00E-08,1366.5,18,440,0.068125,0.0009,0.022
1.00E-07,1424.5,20,459.5,0.071225,0.001,0.022975
5.00E-07,1466,16,474.5,0.07325,0.0008,0.023725
1.00E-06,1419.5,25.5,468.5,0.07095,0.001275,0.023425
5.00E-06,1330,19.5,451.5,0.0665,0.000975,0.022575
1.00E-05,1353,20,489.5,0.06765,0.001,0.024475
1.00E-04,1305,26,612.5,0.065225,0.0013,0.0306
1.00E-03,1130.5,39,821.5,0.056525,0.00195,0.041075
1.00E-02,939.5,84,1297.5,0.046975,0.0042,0.064875
1.00E-01,895,199,2277.5,0.04475,0.00995,0.113875
